employee_id,department,experience_years,score_before,score_after,improvement
1,Engineering,17,60.3,78.1,17.8
2,Engineering,6,65.9,83.9,18.0
3,Support,9,55.9,67.4,11.5
4,Sales,3,80.6,97.6,17.0
5,Support,7,38.2,41.1,2.9
6,Sales,5,54.4,61.9,7.5
7,Engineering,7,71.3,78.5,7.2
8,Support,10,80.9,89.8,8.9
9,Engineering,10,54.8,59.5,4.7
10,Sales,10,59.2,72.9,13.7
11,Engineering,6,67.5,84.1,16.6
12,Support,19,68.0,82.3,14.3
13,Sales,18,63.6,75.6,12.0
14,Sales,15,71.4,90.8,19.4
15,Engineering,13,65.6,65.7,0.1
16,Engineering,2,65.8,77.2,11.4
17,Sales,10,80.8,88.7,7.9
18,Engineering,2,60.0,67.1,7.1
19,Marketing,3,59.1,71.1,12.0
20,Sales,5,58.4,74.8,16.4
21,Sales,15,54.9,61.5,6.6
22,Marketing,7,60.6,60.3,-0.3
23,Support,15,54.6,60.9,6.3
24,Support,12,67.5,70.4,2.9
25,Support,3,67.7,81.9,14.2
26,Support,10,64.9,67.3,2.4
27,Marketing,4,66.8,84.0,17.2
28,Marketing,7,71.7,76.8,5.1
29,Engineering,11,49.7,54.4,4.7
30,Marketing,17,65.3,71.0,5.7
31,Marketing,15,81.3,85.5,4.2
32,Support,17,55.6,64.1,8.5
33,Support,14,92.1,98.6,6.5
34,Engineering,12,58.4,71.8,13.4
35,Marketing,18,65.0,75.8,10.8
36,Sales,13,65.5,80.6,15.1
37,Support,19,44.8,49.3,4.5
38,Support,5,52.4,64.8,12.4
39,Marketing,12,69.9,82.9,13.0
40,Marketing,8,59.2,71.5,12.3
41,Engineering,8,51.6,56.5,4.9
42,Engineering,9,76.6,78.8,2.2
43,Marketing,19,65.7,66.6,0.9
44,Marketing,19,60.3,68.9,8.6
45,Sales,4,89.4,100.0,10.6
46,Engineering,6,50.0,62.3,12.3
47,Sales,12,49.6,60.7,11.1
48,Sales,1,57.2,57.6,0.4
49,Marketing,18,65.3,74.1,8.8
50,Marketing,19,67.4,82.2,14.8
51,Marketing,17,53.3,68.5,15.2
52,Sales,3,45.3,57.8,12.5
53,Sales,4,69.0,78.7,9.7
54,Engineering,14,56.7,55.5,-1.2
55,Engineering,6,62.1,69.2,7.1
56,Support,5,63.0,76.5,13.5
57,Engineering,6,73.5,76.1,2.6
58,Support,13,55.8,66.0,10.2
59,Engineering,9,81.1,87.6,6.5
60,Support,17,60.2,69.8,9.6
61,Engineering,15,45.9,48.1,2.2
62,Engineering,15,49.9,55.9,6.0
63,Sales,19,49.4,56.6,7.2
64,Marketing,8,53.3,53.5,0.2
65,Engineering,9,65.1,66.9,1.8
66,Sales,2,74.1,87.6,13.5
67,Sales,14,35.3,48.8,13.5
68,Marketing,14,72.7,88.5,15.8
69,Engineering,5,79.0,91.1,12.1
70,Support,3,86.6,97.2,10.6
71,Support,10,67.0,63.3,-3.7
72,Marketing,2,40.7,47.2,6.5
73,Marketing,13,45.9,54.7,8.8
74,Marketing,11,72.7,92.3,19.6
75,Engineering,11,63.1,71.3,8.2
76,Engineering,9,54.4,53.3,-1.1
77,Engineering,9,44.1,48.7,4.6
78,Sales,12,49.1,57.8,8.7
79,Support,1,68.3,73.5,5.2
80,Sales,17,67.7,81.9,14.2
